mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,Which metal has the highest electrical conductivity?,Iron,Aluminium,Copper,Silver,3,Copper has very high electrical conductivity; silver is slightly higher but commonly copper is the tested answer.,2,0.5
CGL Pre-Mock1,General Studies,The Chambal river is a tributary of which major river?,Ganges,Yamuna,Narmada,Godavari,2,Chambal is a tributary of the Yamuna.,2,0.5
CGL Pre-Mock1,General Studies,The Chambal river is a tributary of which major river?,Ganges,Yamuna,Narmada,Godavari,2,Chambal is a tributary of the Yamuna.,2,0.5
CGL Pre-Mock1,General Studies,The Chambal river is a tributary of which major river?,Ganges,Yamuna,Narmada,Godavari,2,Chambal is a tributary of the Yamuna.,2,0.5
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,Which Indian state is the largest by area?,Maharashtra,Uttar Pradesh,Rajasthan,Madhya Pradesh,3,Rajasthan is the largest state by area in India.,2,0.5
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,Which Indian state is the largest by area?,Maharashtra,Uttar Pradesh,Rajasthan,Madhya Pradesh,3,Rajasthan is the largest state by area in India.,2,0.5
CGL Pre-Mock1,General Studies,The headquarters of the World Health Organization (WHO) is located in which city?,Geneva,New York,London,Paris,1,WHO headquarters is in Geneva.,2,0.5
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,Who was the first Prime Minister of India?,Jawaharlal Nehru,B. R. Ambedkar,Sardar Patel,Maulana Azad,1,Jawaharlal Nehru became the first Prime Minister of India in 1947.,2,0.5
CGL Pre-Mock1,General Studies,The Chambal river is a tributary of which major river?,Ganges,Yamuna,Narmada,Godavari,2,Chambal is a tributary of the Yamuna.,2,0.5
CGL Pre-Mock1,General Studies,The Chambal river is a tributary of which major river?,Ganges,Yamuna,Narmada,Godavari,2,Chambal is a tributary of the Yamuna.,2,0.5
CGL Pre-Mock1,General Studies,Which Indian state is the largest by area?,Maharashtra,Uttar Pradesh,Rajasthan,Madhya Pradesh,3,Rajasthan is the largest state by area in India.,2,0.5
