mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
JEE MAIN MOCK 1,Physics,A wire of resistance R is cut into five equal pieces. These pieces are then connected in parallel. The equivalent resistance of the combination is:,R/5,5R,R/25,25R,3,"Current Electricity: Resistance of each piece is R/5. In parallel, Req​=(R/5)/5=R/25.",4,-1
JEE MAIN MOCK 1,Physics,"In a full-wave rectifier circuit, if the input frequency is f, the output ripple frequency is:",f,f/2,2f,4f,3,"Semiconductor Electronics: A full-wave rectifier converts both half-cycles of the AC input, doubling the output ripple frequency.",4,-1
JEE MAIN MOCK 1,Physics,A particle moves with an initial velocity v=3i^+4j^​ and a constant acceleration a=0.4i^+0.3j^​. What is its speed after 10s?,10m/s,8m/s,7m/s,5m/s,1,Kinematics: Initial speed v0​=5m/s. Final velocity vf​=v+at=(3i^+4j^​)+(0.4i^+0.3j^​)10=7i^+7j^​. Final speed vf​=72+72​≈9.9m/s≈10m/s.,4,-1
JEE MAIN MOCK 1,Physics,The unit of magnetic flux is:,Tesla,Weber,Henry,Farad,2,Electromagnetic Induction: Magnetic flux (Φ) is measured in Webers (Wb). 1Wb=1T⋅m2.,4,-1
JEE MAIN MOCK 1,Physics,The phenomenon of 'beating' is a consequence of:,Refraction,Diffraction,Interference,Polarization,3,Waves: Beats are formed due to the interference of two waves with slightly different frequencies.,4,-1
JEE MAIN MOCK 1,Physics,The magnetic field at the centre of a circular current-carrying coil of radius R is proportional to:,R,1/R2,1/R,R2,3,"Moving Charges and Magnetism: B=μ0​I/(2R), so B∝1/R.",4,-1
JEE MAIN MOCK 1,Physics,The energy of a photon of light with wavelength 500nm is approximately:,1.24eV,2.48eV,4.96eV,0.62eV,2,Dual Nature of Matter: E=1240eV⋅nm/λ(nm)=1240/500=2.48eV.,4,-1
JEE MAIN MOCK 1,Physics,A body of mass M strikes a wall with speed v and rebounds with the same speed. The change in momentum is: (assuming elastic collision perpendicular to the wall),0,Mv,−Mv,2Mv,4,Laws of Motion: Change in momentum ΔP=Pfinal​−Pinitial​=(−Mv)−(Mv)=−2Mv. The magnitude is 2Mv.,4,-1
JEE MAIN MOCK 1,Physics,The dimensional formula for gravitational potential is:,[L2T−2],[ML2T−2],[MLT−2],[M2L−1T−2],1,Gravitation: Gravitational Potential is Work per unit mass (W/M). [W]/[M]=[ML2T−2]/[M]=[L2T−2].,4,-1
JEE MAIN MOCK 1,Physics,"The ratio of RMS speed of O2​ and H2​ at the same temperature is: (Molecular masses: O2​=32,H2​=2)",4:1,1:4,01:16:00,16:1,2,Kinetic Theory of Gases (KTG): vrms​∝1/M​. Ratio vO2​​/vH2​​=MH2​​/MO2​​​=2/32​=1/4.,4,-1
JEE MAIN MOCK 1,Physics,"A flywheel of moment of inertia 2kg−m2 is rotating at 10rad/s. To bring it to rest in 5s, the required torque is:",4N−m,20N−m,2N−m,10N−m,1,Rotational Motion: τ=Iα. Angular acceleration α=(ωf​−ωi​)/t=(0−10)/5=−2rad/s2. Torque $,\tau,-1
JEE MAIN MOCK 1,Physics,"In an adiabatic process, which of the following remains constant?",Temperature,Pressure,Volume,Total heat,4,"Thermodynamics: By definition, an adiabatic process occurs without heat transfer (ΔQ=0).",4,-1
