mock_test_title,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,correct_mark,negative_mark
JEE MAIN MOCK,A ball is thrown vertically upward. What is its velocity at the highest point?,Zero,Maximum,Minimum,Constant,1,Velocity becomes zero momentarily at the highest point due to gravity.,4,1
JEE MAIN MOCK,"Which law governs the relationship between voltage, current and resistance?",Ohm’s Law,Faraday’s Law,Ampere’s Law,Coulomb’s Law,1,Ohm’s Law states V = IR.,4,1
JEE MAIN MOCK,The unit of electric charge is?,Ampere,Coulomb,Volt,Joule,2,Charge is measured in coulombs.,4,1
JEE MAIN MOCK,A ball is thrown vertically upward. What is its velocity at the highest point?,Zero,Maximum,Minimum,Constant,1,Velocity becomes zero momentarily at the highest point due to gravity.,4,1
JEE MAIN MOCK,"Which law governs the relationship between voltage, current and resistance?",Ohm’s Law,Faraday’s Law,Ampere’s Law,Coulomb’s Law,1,Ohm’s Law states V = IR.,4,1
JEE MAIN MOCK,The unit of electric charge is?,Ampere,Coulomb,Volt,Joule,2,Charge is measured in coulombs.,4,1
JEE MAIN MOCK,A ball is thrown vertically upward. What is its velocity at the highest point?,Zero,Maximum,Minimum,Constant,1,Velocity becomes zero momentarily at the highest point due to gravity.,4,1
JEE MAIN MOCK,"Which law governs the relationship between voltage, current and resistance?",Ohm’s Law,Faraday’s Law,Ampere’s Law,Coulomb’s Law,1,Ohm’s Law states V = IR.,4,1
JEE MAIN MOCK,The unit of electric charge is?,Ampere,Coulomb,Volt,Joule,2,Charge is measured in coulombs.,4,1
JEE MAIN MOCK,A ball is thrown vertically upward. What is its velocity at the highest point?,Zero,Maximum,Minimum,Constant,1,Velocity becomes zero momentarily at the highest point due to gravity.,4,1
JEE MAIN MOCK,"Which law governs the relationship between voltage, current and resistance?",Ohm’s Law,Faraday’s Law,Ampere’s Law,Coulomb’s Law,1,Ohm’s Law states V = IR.,4,1
JEE MAIN MOCK,The unit of electric charge is?,Ampere,Coulomb,Volt,Joule,2,Charge is measured in coulombs.,4,1
