mock_test_title,subject_name,question_text,option1,option2,option3,option4,correct_option,solution,marks,negative_marks
NEET MOCK 1,Physics,The dimensional formula for gravitational potential is:,[L2T−2],[ML2T−2],[MLT−2],[M2L−1T−2],1,Gravitation: Gravitational Potential is Work per unit mass (W/M). [W]/[M]=[ML2T−2]/[M]=[L2T−2].,4,-1
NEET MOCK 1,Physics,A particle moves with an initial velocity v=3i^+4j^​ and a constant acceleration a=0.4i^+0.3j^​. What is its speed after 10s?,10m/s,8m/s,7m/s,5m/s,1,Kinematics: Initial speed v0​=5m/s. Final velocity vf​=v+at=(3i^+4j^​)+(0.4i^+0.3j^​)10=7i^+7j^​. Final speed vf​=72+72​≈9.9m/s≈10m/s.,4,-1
NEET MOCK 1,Physics,"One mole of ideal gas is taken through an isothermal process at temperature T. The work done is? (in terms of n, R, T)",nRT ln(Vf/Vi) (I),nRT ln(Vf/Vi) (II),None of these,nRT ln(Vf/Vi),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"If a wire is stretched to double its length, its Young's modulus will: (Assume material remains elastic)",4 times the original,2 times the original,remain unchanged,1/4 times the original,3,"Properties of Solids: Young's modulus is a property of the material, independent of the sample dimensions.",4,-1
NEET MOCK 1,Physics,"One mole of ideal gas is taken through an isothermal process at temperature T. The work done is? (in terms of n, R, T)",nRT ln(Vf/Vi) (II),None of these,nRT ln(Vf/Vi),nRT ln(Vf/Vi) (I),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,The magnetic force experienced by a charge q moving with velocity v in a magnetic field B is given by:,q(v⋅B),qvB,q(v×B),qE+q(v×B),3,Moving Charges and Magnetism: The Lorentz force due to a magnetic field is FB​=q(v×B).,4,-1
NEET MOCK 1,Physics,The total internal reflection of light is possible when a ray of light passes from:,Air to Glass,Glass to Water,Air to Vacuum,Water to Air,4,Ray Optics: TIR occurs when light moves from an optically denser medium (Water) to an optically rarer medium (Air).,4,-1
NEET MOCK 1,Physics,"One mole of ideal gas is taken through an isothermal process at temperature T. The work done is? (in terms of n, R, T)",None of these,nRT ln(Vf/Vi),nRT ln(Vf/Vi) (I),nRT ln(Vf/Vi) (II),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"A particle of mass m is projected with speed v at angle θ. The horizontal range is? For v = 15 m/s and θ = 30°, what is the horizontal range (take g = 10 m/s²)?",B,A,Use R = v² sin(2θ)/g,C,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"In an adiabatic process, which of the following remains constant?",Temperature,Pressure,Volume,Total heat,4,"Thermodynamics: By definition, an adiabatic process occurs without heat transfer (ΔQ=0).",4,-1
NEET MOCK 1,Physics,"A particle of mass m is projected with speed v at angle θ. The horizontal range is? For v = 20 m/s and θ = 30°, what is the horizontal range (take g = 10 m/s²)?",A,C,Use R = v² sin(2θ)/g,B,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,The magnetic field at the centre of a circular current-carrying coil of radius R is proportional to:,R,1/R2,1/R,R2,3,"Moving Charges and Magnetism: B=μ0​I/(2R), so B∝1/R.",4,-1
NEET MOCK 1,Physics,The de Broglie wavelength of an electron moving with momentum p is? (in terms of h and p),h/p (I),h/p (II),None of these,h/p,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"The ratio of RMS speed of O2​ and H2​ at the same temperature is: (Molecular masses: O2​=32,H2​=2)",4:1,1:4,01:16:00,16:1,2,Kinetic Theory of Gases (KTG): vrms​∝1/M​. Ratio vO2​​/vH2​​=MH2​​/MO2​​​=2/32​=1/4.,4,-1
NEET MOCK 1,Physics,"One mole of ideal gas is taken through an isothermal process at temperature T. The work done is? (in terms of n, R, T)",nRT ln(Vf/Vi) (I),nRT ln(Vf/Vi),nRT ln(Vf/Vi) (II),None of these,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),B,A,C,½ C V²,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),½ C V²,B,A,C,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"One mole of ideal gas is taken through an isothermal process at temperature T. The work done is? (in terms of n, R, T)",nRT ln(Vf/Vi) (I),nRT ln(Vf/Vi) (II),None of these,nRT ln(Vf/Vi),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),A,C,½ C V²,B,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,The de Broglie wavelength of an electron moving with momentum p is? (in terms of h and p),h/p (II),h/p (I),None of these,h/p,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"In a full-wave rectifier circuit, if the input frequency is f, the output ripple frequency is:",f,f/2,2f,4f,3,"Semiconductor Electronics: A full-wave rectifier converts both half-cycles of the AC input, doubling the output ripple frequency.",4,-1
NEET MOCK 1,Physics,"A particle of mass m is projected with speed v at angle θ. The horizontal range is? For v = 15 m/s and θ = 45°, what is the horizontal range (take g = 10 m/s²)?",B,A,Use R = v² sin(2θ)/g,C,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"When light passes from medium of refractive index n1 to n2, critical angle is given by? (in terms of n1 and n2)",A,C,B,sin⁻¹(n2/n1),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),½ C V²,C,B,A,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,The capacitance of a parallel plate capacitor becomes κ times when a dielectric is introduced. κ is the:,Electric field factor,Polarization factor,Dielectric constant,Susceptibility,3,"Electrostatics: κ is the relative permittivity or dielectric constant, defined as Cdielectric​/Cvacuum​.",4,-1
NEET MOCK 1,Physics,"When light passes from medium of refractive index n1 to n2, critical angle is given by? (in terms of n1 and n2)",C,B,sin⁻¹(n2/n1),A,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"A particle of mass m is projected with speed v at angle θ. The horizontal range is? For v = 15 m/s and θ = 60°, what is the horizontal range (take g = 10 m/s²)?",Use R = v² sin(2θ)/g,B,C,A,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"When light passes from medium of refractive index n1 to n2, critical angle is given by? (in terms of n1 and n2)",sin⁻¹(n2/n1),C,B,A,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),½ C V²,C,B,A,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,The process of adding impurity to an intrinsic semiconductor is called:,Rectification,Amplification,Doping,Tunnelling,3,Semiconductor Electronics: Doping is the process of intentionally introducing impurities to change the electrical properties of a semiconductor.,4,-1
NEET MOCK 1,Physics,The de Broglie wavelength of an electron moving with momentum p is? (in terms of h and p),None of these,h/p,h/p (II),h/p (I),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,"One mole of ideal gas is taken through an isothermal process at temperature T. The work done is? (in terms of n, R, T)",nRT ln(Vf/Vi),None of these,nRT ln(Vf/Vi) (II),nRT ln(Vf/Vi) (I),1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),A,½ C V²,C,B,1,Solution not provided.,4,-1
NEET MOCK 1,Physics,A capacitor of capacitance C is charged to potential V. The energy stored is? (in terms of C and V),C,½ C V²,A,B,1,Solution not provided.,4,-1
